date,symbol,Series,Prev Close,open,high,low,Last,close,vwap,volume,turnover,trades,deliverable_volume,deliverable_pct,source_file_symbol,company,industry,nifty_close,nifty_ret_1d,vix_close,ret_1d,ret_5d,ret_21d,ret_63d,vol_20d,vol_60d,sma20_gap,sma50_gap,ema12_26_gap,macd,rsi_14,bollinger_z,atr_14,volume_z_20,turnover_z_20,drawdown,beta_252,target_return_21d,target_up_21d,symbol_code,industry_code,forecast_return_21d,forecast_up_probability,forecast_annualized,annual_return,volatility,sharpe,sortino,max_drawdown,calmar,quality_score
2021-04-30,GRASIM,EQ,1350.7,1342.0,1407.4,1333.0,1401.1,1401.75,1386.13,3261678,452111640235000.06,87943.0,1445017.0,0.443,GRASIM,Grasim Industries Ltd.,CEMENT & CEMENT PRODUCTS,14631.1,-0.017710760058812003,23.03,0.037795217294736005,0.09674516860965499,-0.0027390438247011373,0.31035288618836177,0.3161980193543473,0.3255525609758651,0.01898766383402517,0.042254526474045706,-0.0026564264328823306,-3.5990811887304517,43.403523850451236,0.4365625545993343,0.03652322352161842,2.0728756946041056,2.2407092009395235,-0.7348234047785702,0.9484829459046802,,0,14,1,0.04626098672936645,0.5209708045487781,0.7206018215286163,1.817871142828427,0.33176879972518375,5.4793312220264125,9.170959401401568,-0.12127878996218666,14.989192614761564,0.8336734693877551
2021-04-30,JSWSTEEL,EQ,726.5,719.6,740.0,711.45,713.7,717.85,723.92,36449711,2638674981045000.0,376696.0,3416355.0,0.0936999999999999,JSWSTEEL,JSW Steel Ltd.,METALS,14631.1,-0.017710760058812003,23.03,-0.011906400550585006,0.12976078061063911,0.6124213836477987,0.8769773826644007,0.5537740774510935,0.44906782207107826,0.17163655355889618,0.44452314738422305,0.10144261934828092,60.05703728893434,75.802039293708,1.5986668898131686,0.04042826296779072,0.5614092203369501,0.9091291551539457,-0.6145875278516013,1.2206230569478569,,0,26,9,0.0562782941258344,0.5233455702913624,0.9290356985950816,3.503450439146796,0.4039504208006912,8.672971381493857,13.856818890825739,-0.11877982276755239,29.4953331089146,0.833673469387755
2021-04-30,VEDL,EQ,255.05,255.05,266.2,252.55,255.95,257.25,259.67,21911292,568974065280000.0,117226.0,5687812.0,0.2596,VEDL,Vedanta Ltd.,METALS,14631.1,-0.017710760058812003,23.03,0.008625759654969478,0.12828947368421062,0.13400925721842638,0.5572033898305087,0.43414589686561095,0.36270628688324397,0.10291753306608942,0.15880466314708364,0.033362707003530945,7.732734202711271,62.187499999999986,2.2418227582557244,0.04081632653061223,0.804852599303474,1.0285538404305357,-0.940783113116339,0.9608951969697399,,0,46,9,0.05638462877360207,0.5443407435202561,0.9313673221101972,2.347430058555633,0.4878699431456126,4.811589833594247,5.438727761121736,-0.34262236513040356,6.851362600518477,0.8051020408163265
2021-04-30,HINDALCO,EQ,372.15,368.9,377.0,361.3,363.65,364.4,368.96,19935239,735537367830000.0,149528.0,4268054.0,0.2141,HINDALCO,Hindalco Industries Ltd.,METALS,14631.1,-0.017710760058812003,23.03,-0.020824936181647158,0.0426323319027182,0.1138621427479749,0.5164377861007072,0.5028945138785266,0.463937460464674,0.02576372810505334,0.07253440704505598,0.02474772397769054,8.671785936516358,49.675587996755866,0.8275612043956401,0.04661282734828289,0.09503231292019204,0.15696252963394858,-0.7525465163656119,1.4366302673641589,,0,19,9,0.061552338906391266,0.5206388426939017,1.0478443227136705,2.3508045977011465,0.4668576850625605,5.035377317149938,8.500262334661755,-0.20050251256281404,11.72456428427389,0.7877551020408163
2021-04-30,BAJAJ-AUTO,EQ,3836.45,3805.0,3966.35,3800.0,3827.0,3833.75,3869.17,1340273,518574374275000.0,79430.0,229768.0,0.1714,BAJAJ-AUTO,Bajaj Auto Ltd.,AUTOMOBILE,14631.1,-0.017710760058812003,23.03,-0.0007037756259040684,0.043907420013614695,0.06491576505881858,-0.08040393864162432,0.3083456417931148,0.28339066539303465,0.042641203602976185,0.018766022229893098,0.006864121321111583,25.492757378126043,61.75474471212217,1.5651095988195858,0.03134007173133357,2.0869305760953973,2.121891792668068,-0.09526956070278114,0.7882919306621983,,0,3,0,0.022046086047656885,0.555437617216034,0.2991094833597805,0.5560944920241877,0.3039318339521992,1.8296684647770307,2.7076473912724692,-0.1736539664184833,3.2023137938817525,0.7846938775510204
2021-04-30,ADANIPORTS,EQ,746.75,739.0,759.45,724.5,726.4,730.05,743.35,12600934,936691138995000.0,132141.0,3514692.0,0.2789,ADANIPORTS,Adani Ports and Special Economic Zone Ltd.,SERVICES,14631.1,-0.017710760058812003,23.03,-0.02236357549380652,0.0064796305231955564,0.038404096436953195,0.3941564021770265,0.6575850303953475,0.5002298332627104,-0.030918871562403583,0.012196829683897237,0.007688957259228468,5.656508010552557,29.467638612767814,-0.6042324901034689,0.05197295684248632,-0.7092453282232271,-0.6788214299828924,-0.4416230066159318,1.109473317359456,,0,0,11,0.024191726696386744,0.5418504210234866,0.3322175789252486,1.6746656896867598,0.3995701705368193,4.191167942884375,6.911153649479099,-0.1427595628415299,11.73067258230344,0.7642857142857142
2021-04-30,BAJFINANCE,EQ,5484.85,5350.0,5524.65,5327.7,5449.0,5451.9,5449.83,4124888,2247991949735000.0,233718.0,886610.0,0.2148999999999999,BAJFINANCE,Bajaj Finance Ltd.,FINANCIAL SERVICES,14631.1,-0.017710760058812003,23.03,-0.006007456904017605,0.16798063327477597,0.051871002594997107,0.11066066371951844,0.5784521913455298,0.44041920973271537,0.11102110561058609,0.04410705472718934,-0.00027455156180988816,-1.3797060128008525,60.225622155514664,1.791640009151815,0.04240526893638653,0.44655997616368953,0.631582890938251,-0.5214819235866693,1.700673068967785,,0,5,6,0.06413779499202349,0.5194736748572494,1.1085039535747518,1.4468829944795987,0.4730346818227732,3.058724973196969,5.288414540050998,-0.22496258553422688,6.431660584997424,0.7459183673469386
2021-04-30,SBIN,EQ,359.4,353.45,362.5,350.45,352.3,353.5,357.11,53832840,1922407931330000.0,296959.0,13261927.0,0.2464,SBIN,State Bank of India,FINANCIAL SERVICES,14631.1,-0.017710760058812003,23.03,-0.016416249304396113,0.050676177738148365,-0.010358342665173548,0.2582310019576437,0.4199310951452923,0.47678848652245653,0.014922373511530918,-0.047257124683991236,-0.009404997601981435,-3.3194670794535455,48.928571428571416,0.4249236951750851,0.03862396443726004,0.5406550252585162,0.713828228700127,-0.8987091505608963,1.4847710254205735,,0,36,6,0.03540755994487864,0.5112610561131281,0.5182244440980834,0.9180683667932743,0.4141028888509666,2.2170054629193428,3.604186563256422,-0.21569935512563954,4.25624066543232,0.673469387755102
2021-04-30,ULTRACEMCO,EQ,6382.45,6380.0,6424.0,6233.55,6253.1,6278.95,6340.57,475175,301287841790000.0,38753.0,192320.0,0.4047,ULTRACEMCO,UltraTech Cement Ltd.,CEMENT & CEMENT PRODUCTS,14631.1,-0.017710760058812003,23.03,-0.016216343253766197,0.03478139059641716,-0.06774804201774254,0.16961292005066686,0.3721686737419598,0.3723555078115602,-0.038375317643824625,-0.039989297454323114,-0.013527812868850408,-87.49139574785659,31.42274459292652,-0.9226670667154301,0.03820873144167644,-0.534006016936076,-0.6081753283078316,-0.09930787161556398,0.9561666360460086,,0,44,1,0.01399398533857274,0.5290737758485228,0.18147502896221845,0.8500147318797877,0.31290553625096407,2.7165218681143384,4.2618252392996085,-0.12958221265913583,6.55965594688323,0.6693877551020408
2021-04-30,TATAMOTORS,EQ,301.9,298.2,301.3,292.55,293.1,293.85,297.01,36121668,1072848726265000.0,227806.0,7898988.0,0.2187,TATAMOTORS,Tata Motors Ltd.,AUTOMOBILE,14631.1,-0.017710760058812003,23.03,-0.026664458429943583,-0.0005102040816326037,-0.008603238866396579,0.05265986029016667,0.49479065421783325,0.5542627790007792,-0.028875944974594003,-0.05774422974558924,-0.008254008943533342,-2.4983088700181497,39.87915407854986,-1.1621277927584188,0.04549211210773232,-1.0749774032740433,-1.133105555709664,-0.784748928689155,1.7173509665118356,,0,39,0,0.06746121751009498,0.4890085494365131,1.1888966916453083,2.8187134502924,0.565153774102377,4.987515928331734,8.977338131017001,-0.19130721106354942,14.73396342261278,0.6642857142857143
